Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Antigüedad,Estado conservacion,URL,Descripcion
Casa pareada en venta en Esparreguera,Esparreguera,252000 ,4, 1 ,332 ,Bajo,759,-,En buen estado,https://www.pisos.com/comprar/casa_pareada-esparreguera_centro_urbano-95084580560_519351/,"Casa pareada Casa pareada de 144 m² con 188 m² de terreno. Compuesta por 4 habitaciones, 1 baño, cocina office y comedor-salón, ambos con salida al patio trasero.  Carpintería interior sapelly y carpintería exterior de madera. Puerta blindada.  Calefacción de gas natural.   Ubicada en la zona de la plana, una zona muy tranquila y residencial. Cerca del transporte público y el núcleo urbano."
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,139000 ,3, 2 ,83 ,1ª,1.674,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85051538793_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 83 m² y útil de 73 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Chalet en venta en Esparreguera,Esparreguera,159000 ,3, 1 ,81 ,-,1.962,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-97536021580_100500/,"Bonita casa unifamiliar aislada de 81 m2 en muy buen estado, situada en parcela de 346 m2. Dispone de amplio garaje-trastero, piscina, chimenea, barbacoa, terraza y zona ajardinada. Muy soleada y acojedora.  Cerca de trransporte público. Espectaculares vistas a Montserrat."
Piso en venta en Esparreguera,Esparreguera,186000 ,3, 2 ,100 ,1ª,1.860,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95010075034_519351/,"Piso en el centro del pueblo , con plaza de parquing, cerca de el ayuntamiento"
Piso en venta en Plaça de l'Unió,Esparreguera,86400 ,3, 1 ,63 ,5ª,1.371,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85052749541_324700/,"Piso en venta situado en la población de Esparreguera, provincia de Barcelona.  El inmueble tiene una superficie construida de 63 m² y útil de 57,70 m² distribuidos en recibidor, salón-comedor, cocina independiente, 1 habitación doble y 2 individuales más 1 baño completo. Dispone de lavadero y terraza. Acabados con suelo de gres, carpintería interior y exterior de madera. Piso en quinta planta de un edificio de 5 plantas. La localidad de Esparreguera es una población consolidada ubicada cerca de las poblaciones de Olesa de Montserrat y Abrera y se encuentra muy cercana a la red de autopistas y autovías A-2 y AP-7 que la unen con la ciudad de Barcelona. Accesibilidad en el entorno buena, existiendo red de autobús urbana e interurbana de linea regular y servicios socioculturales, de ocio, etc. Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
"Dúplex en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,291000 ,5, 2 ,160 ,-,1.818,-,En buen estado,https://www.pisos.com/comprar/duplex-esparreguera_centro_urbano-95009016200_100500/,"160 m². Vivienda + 40 m². Terraza - planta baja: salón comedor 35 m². Con salida bvalcón, cocina offcie, 4 habitraciones (2 dobles), baño con plato de ducha grande. 1ª planta: sala diafana de 50 m². Con salida terraza con barbacoam, baño con bañera,  - carpintería interior roble madera de origen con contraventanas tipo menorquinas, calefacción gas, aire acondicionado"
Casa en venta en Esparreguera,Esparreguera,250000 ,3, 2 ,80 ,-,3.125,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-995489587_510396/,"Casa 4 vientos de 2 plantas, en Urb. Can Arial de Esparreguera. Parcela de 555 m2, construidos 143 m2, útiles 80 m2, muy luminosa y amueblada. Con 3 Hab.(1 doble y 2 individuales), 1 baño, 1 aseo (para reformar), Salón-Comedor de 35 m2 con salida a Balcón tipo Terrassa de 15 m2, cocina office equipada de 11m2, garaje de 46 m2, bodega de 42 m2, trastero, caseta para leñas, arboles frutales y jardín. PB: Garaje, Bodega, Aseo, Trastero1ra Planta: 3 hab, cocina, salón comedor, balcón, baño (Todo exterior).Urbanización bien comunicada por la A-2. Cerca de B-40, C-1414, C-55, B-231. Proxima a la AP-7 y BV-1201.Dhabitat te ofrece una gran variedad de productos, asesoramiento en la compra de tu vivienda y posibilidad de financiamiento al 100%. No pierdas esta oportunidad de concretar una visita ya!Dhabitat t´ofereix una gran varietat de productes, assesorament en la compra del teu habitatge i possibilitat de finançament al 100%. No perdis aquesta gran oportunitat de concretar una visita ja!"
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,175000 ,3, 2 ,97 ,3ª,1.804,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85054961887_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 97 m² y útil de 86 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación suite y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Casa en venta en Calle Can Rial,Esparreguera,490000 ,4, 3 ,240 ,Bajo,2.041,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-98429198077_519327/,"Espectacular casa en can rial !!! Veala¡¡¡ Vivienda 240 m². -  parcela 1400 m². - en dos plantas Planta: salón comedor 40 m². Con salida porche, cocina office 16 m². Con salida a balcón, habitación suitte con baño, aseo de cortesía, garaje 1 coche. - otro garaje  aparte para 2 coches mas. Planta 1ª 3 habitaciones dobles con salida a balcón, baño completo con plato de ducha.  Calefacción electrica radial, aire acondicionado, suelo gres, mármol, y parquet, carpintería interior de haya, exterior aluminio climalit, piscina con depura, bodega de 30 m². Preciosa, sótano. Pista de tenis."
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,155000 ,3, 2 ,88 ,4ª,1.761,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85059765131_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 88 m² y útil de 78 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Casa adosada en venta en Esparreguera,Esparreguera,242000 ,4, 3 ,150 ,-,1.613,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-92596772963_100500/,"Ahora muy rebajada +++ se vende bonita casa en una de las calles más céntricas de la urbanización de la plana, cerca de todos los servicios necesarios como escuelas, zonas infantiles, tiendas, transporte público, etc.... Y a un paseo de la localidad a la que pertenece. Fácil enlace autovía a-2 y a tan solo 25 minutos de barcelona..  La vivienda es adosada, se ubica en una parcela de 197 m² y dispone de un total de 2 plantas con un total de 132 m² útiles: planta baja con recibidor, cocina independiente con salida a patio, amplio salón-comedor con salida al mismo patio, 1 habitacion doble y 1 aseo. Planta primera con 3 habitaciones, balcón exterior y 1 baño con bañera. La parte exterior de la vivienda la dividimos en dos partes, la parte delantera que se usa como terraza pero con la posibilidad de entrada de vehiculo. La parte posterior es la más soleada con una fantástica orientación dispone de amplio patio/terraza y con un anexo como trastero/lavadero, 1 baño con ducha y 1 despacho. .  La vivienda dispone de fantásticos acabados como suelos de gres, carpinteria exterior de aluminio-climalit, calefacción electrica, armarios empotrados, etc.... Muy luminosa y confortable y con todos los servicios dados de alta, totalmente reformada, vivienda a punto para entrar a vivir. +++llamanos para visita sin compromiso+++"
"Casa adosada en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,270000 ,2, 1 ,150 ,-,1.800,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-95060851832_100500/,"Totalmente reformada en 2013 - IMPECABLE - P.Bja: Garaje, trastero amplio con altillo 20 m2, Aseo - Cocina americana ""marca Santos"" con salida a patio de 25 m2. y acceso a piscina Comunitaria. Suelo porcelánico,  - 1ª Planta: Salón 24 m2. con salida balcón y  aire acondicionado, baño con bañera, 2 Habitaciones (1 doble), - Planta 2ª : Suitte con baño plato de ducha, aire acondicionado salida solarium 8 m2,. - Calefacción gas, Carpintería interior madera lacada blanca,  exterior aluminio climalit. Suelo parquet oscuro, Osmosis y Descalcificador"
Casa en venta en Esparreguera,Esparreguera,380000 ,4, 3 ,375 ,1ª,1.013,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-2544341605_100500/,"Chalet de 375m² de superficie y 403m² de parcela, en la que podrás disfrutar de tus ratos de ocio sin salir de casa, en Esparreguera, provincia de Barcelona. Por el espacio que te ofrece, este chalet es ideal para una familia con hijos. Este chalet tiene tres plantas de altura y se distribuye en un amplio y acogedor salón, cuatro dormitorios, tres cuartos de baño completos, un aseo y cocina totalmente independiente del resto de estancias y equipada con electrodomésticos. Además, el chalet cuenta con balcón, que aporta gran luminosidad a toda la estancia, terraza, para que disfrutes del buen tiempo, una práctica galería para aumentar el espacio, y armarios empotrados para aumentar la capacidad de almacenaje de tu hogar. El inmueble es todo exterior. También tiene jardín privado en el que aprovecharás el buen tiempo, y trastero interior para que puedas aprovechar todo el espacio de la vivienda. Este chalet, situado en una vía de fácil acceso, tiene garaje con capacidad para cuatro vehículos, puertas automáticas  para que puedas aparcar con comodidad. Además, por su orientación sur, es una casa muy soleada en las horas centrales del día. La vivienda se vende sin amueblar y en buen estado, lista para comenzar la mudanza. En cuanto a las calidades, este chalet dispone de persianas domóticas,  calefacción de gas y aire acondicionado individual en cada planta,  las ventanas son de aluminio, y el suelo es de parquet en la zona de las habitaciones, que da mucha calidez a la vivienda y de mármol en el resto de la vivienda. Esta casa está situada en una zona bien comunicada, a cinco minutos andando del ayuntamiento con todos los servicios a tu alcance, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio. Con acceso directo a la A-2, y a 40 minutos de Barcelona.De particular a particular. Sin comisiones. Llámanos y visita esta vivienda.h1o1u2s0e9l6l"
Casa en venta en Esparreguera,Esparreguera,145000 ,3, 1 ,108 ,-,1.342,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99182518100_100500/,"Casa pareada de 108m2 edificada en un terreno de 211m2, garaje 19m2, terraza de 19m2, distribuido en 2 habitaciones exteriores dobles, comedor y salón con fuego a tierra, cocina independiente, baño con bañera, galería. Carpintería exterior de aluminio y interior de embero, suelo de gres, con preciosas visitas a la montaña..  .  Ubicado en la urbanización de Mas d’en Gall – Can Rial, buena conexión con autovía A-2..  .  Disponemos de una amplia oferta de financiación, le realizamos un estudio y asesoramiento hipotecario a su medida, totalmente gratuito!."
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,144000 ,3, 2 ,83 ,2ª,1.734,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85038463432_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 83 m² y útil de 73 m² distribuidos en un amplio comedor con salida a balcón, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas y aire acondicionado. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Piso en venta en Esparreguera,Esparreguera,192000 ,3, 2 ,89 ,Bajo,2.157,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-99225666605_519327/,"Superficie total 89 m², piso superficie útil 89 m², hab. individuales: 2, habitaciones dobles: 1, 2 baños, antigüedad entre 10 y 20 años, cocina, comedor, estado conservación: buen estado, trastero."
Chalet en venta en Esparreguera,Esparreguera,368000 ,4, 2 ,250 ,-,1.472,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-92511233724_100500/,"Se vende fantástica casa en la tranquila urbanización Can Rial de Esparreguera, en una de sus mejores zonas. En 5 minutos tenemos el enlace de la Autovia A-2 y el pueblo de Esparreguera con todos los servicios necesarios por los alrededores. Barcelona se encuentra a tan solo 25 minutos. .  La vivienda es muy luminosa y se ubica en una parcela de 580 m2 con bonitas vistas panorámicas de la localidad y de la montaña de Montserrat. Está construida a 4 vientos en 2 plantas con la siguiente distribución: PLANTA PISO con precioso recibidor acristalado, amplia cocina independiente con salida al exterior, gran salón-comedor de 42 m2 con salida a preciosa terraza de 30 m2, 1 habitación doble y 1 baño con ducha. PLANTA BAJA con 3 habitaciones dobles, 1 baño con bañera, amplio garaje para 2 coches además de salida a otra bonita terraza acristalada de verano también de 30 m2 con acceso directo a la zona exterior y piscina de 15 x 5 aprox. con depuradora. Toda la vivienda está rodeada de precioso jardín exterior. Fachada en monocapa..  Dispone de fantásticos acabados de primera calidad en toda la vivienda como suelos de gres y madera de teka en terrazas, carpinteria exterior de aluminio-climalit, puertas interiores de roble y exterior blindada, calefacción a gas natural, aire acondicionado en salón con bomba de calor, toldos y mosquiteras, alarma general, etc..... los muebles son negociables. Todos los servicios dados de alta. +++ LLAMANOS PARA VISITA Y TE ENAMORARÁS, SEGURO +++"
"Chalet en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,295000 ,3, 3 ,220 ,-,1.340,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-95078810561_100500/,"!!!Casa de alto standing¡¡¡ - perfecta para entrar a vivir. - 220 m². Vivienda + garaje - en 2 plantas - parcela 600 m². - antigüedad 2001 - comedor y salón 60 m²., 2 habitaciones (2 suittes, 1 doble),. 3 baños (2 con bañera en la suittes,  1con plato de ducha en la casa.) ,  cocina office 16 m²., carpintería interior roble, exterior aluminio climalit. - calefacción gasoil, garaje 2 coches, piscina con depuradora, barbacoa,  -"
Casa en venta en Esparreguera,Esparreguera,269000 ,2, 2 ,165 ,-,1.630,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-3393796049_519515/,"Exclusiva cada pareada ubicada en zona residencial que destaca por su tranquilidad. Construída en 3 cómodas plantas, la vivienda dispone de un gran salón comedor con acceso a terraza de 30 m2 con barbacoa, donde podrás disfrutar de grandes momentos en compañía de la famlia y amigos, cocina office, aseo de cortesía. En Primera planta, encontramos la zona de noche compuesta de 2 habitaciones dobles (con posibilidad de hacer una tercera habitación) y 1 baño completo. La planta sótano, ofrece garaje para 1 coche. Un hogar con las comodidades y dimensiones que necesitas, en un entorno inmejorable."
"Casa adosada en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,260000 ,3, 4 ,170 ,-,1.529,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-95027621119_100500/,"Planta baja: garaje 2 coches, aseo, despensa, patio 30 m². Con piscina, descalcificador y osmosis. - 1ª pl. Salón comedor 35 m². Con fuego a tierra y 2 terrazas, cocina office, aseo. 2ª planta: 3 habitaciones (1 suitte con bañera y armario empotrado, y 2 dobles), baño con plato de ducha, - buhardilla 35 m²,. Con terraza solarium, suelo parquet y mármol, calefacción a gas y aire acondicionado."
Casa en venta en Carrer de Josep Maria de Sagarra,Esparreguera,156000 ,2, 1 ,132 ,-,1.181,Entre 30 y 50 años,A reformar,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-75895925802_324700/,"Casa en venta situada en la urbanización de Can Vinyals de la población de Esparreguera, provincia de Barcelona. El inmueble tiene una superficie construida de 132 m² aprox., y una superficie útil de 127 m² aprox. distribuida en salón-comedor, cocina independiente, 2 habitaciones individuales y 1 baño. Garaje de coche. Precisa reforma integral. La urbanización de Can Vinyals es una zona tranquila y rodeada de naturaleza, con vistas a la montaña. A 5 minutos del pueblo de Esparreguera y al pueblo de Olesa de Montserrat; Perteneciente a la localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Piso en venta en Esparreguera,Esparreguera,232000 ,4, 2 ,115 ,1ª,2.017,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-97531337217_519327/,"Finca año 2003Espectacular vivienda de 115 m2. Salón comedor 27 m 2. con salida balcón/Terraza.Cocina office 16 m2.conm salida a gran galeria.4 Habitaciones 1 suitte con baño y bañera con salida a balcón, 2 dobles, 1 individual, Baño con plato de ducha,  .2 plazas de parking de 18 y 12 m2,. Y un trastero en la misma finca"
Piso en venta en Esparreguera,Esparreguera,139000 ,2, 1 ,80 ,-,1.737,Entre 30 y 50 años,Reformado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-1764823875_519515/,"Acogedor y luminoso piso en una finca con ascensor. Su buena ubicación te permite acceder a los principales servicios, comercios y transporte. La propiedad está totalmente reformada. El salón es amplio, la cocina es independiente y muy funcional, dispone de 2 habitaciones y 1 baño completo con plato de ducha. Un hogar especial, para alguien como tú..."
Casa en venta en Esparreguera,Esparreguera,185000 ,5, 2 ,154 ,Bajo,1.201,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99202264666_519327/,"Superficie total 154 m², superficie solar 270 m², superficie útil 154 m², hab. individuales: 2, habitaciones dobles: 3, 2 baños, calefacción (gasoil), carpintería exterior (aluminio), cocina, comedor, estado conservación: buen estado, jardín (propio), suelos: gres, nivel energético de emisiones:  F, 72, nivel energético de consumo:  F, 277."
Piso en venta en Passió,Esparreguera,89000 ,3, 1 ,61 ,3ª,1.459,Más de 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-75090602089_324700/,"Piso en venta situado en la población de Esparreguera, provincia Esparreguera. El inmueble tiene una superficie de 61 m² distribuida en comedor de 16 m², cocina independiente y 1 habitación doble, 2 individuales mas 1 baño reformado. Acabados de parquet, carpintería interior de haya y exterior de aluminio. Dispone de puerta blindada. El piso es en una 3ª planta sin ascensor. Se encuentra en la zona del Bari Font, próximo a la Passió y todos los servicios que la rodean. La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
"Casa en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,300000 ,4, 3 ,240 ,Bajo,1.250,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99172930120_519327/,"Casa de alto standing!!!! -  antigüedad año 2003 170 m². Vivienda +70 m². Garaje - parcela 650 m². - 2 plantas. Planta: salón comedor de 35 m². Con salida porche, cocina office nueva, habitación individual grande, baño con plato de ducha, garaje 2 coches + cuarto de maquinas. Planta 1ª : 3 habitaciones (1 suitte, 1 doble, 1 individual grande., baño con plato de ducha, terraza 40 m²., calefacción de gas Piscina con depuradora con cascada, y barbacoa."
Piso en venta en Esparreguera,Esparreguera,231000 ,4, 2 ,115 ,2ª,2.008,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-97508781572_519351/,Piso seminuevo de 115 m2-recibidor con armario e-comedor con salida terraza de 8 m2-cocina office- lavadero-4 hab. 2 dobles 1 de ellas suitte- otra con salida balcón de 5 m2-1 mediana y una pequeña- 2 baños uno con bañera otro con ducha deportiva-calñefacc gas natural-ascensor-trastero- 2 plazas de parking una de ellas para coche y moto-Piso para entrar a vivir.
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,163000 ,3, 2 ,81 ,3ª,2.012,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85083078637_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 81 m² y útil de 72 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Piso en venta en Esparreguera,Esparreguera,193000 ,4, 2 ,110 ,1ª,1.754,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95027894527_519351/,"Piso en muy buena zona , buen estado , cerca de transporte puiblico , buenas vistas"
Piso en venta en Carrer del Roure,Esparreguera,105800 ,4, 1 ,77 ,4ª,1.374,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85004323089_324700/,"Piso en venta situado en la población de Esparreguera, provincia de Barcelona. La vivienda tiene una superficie construida de 77 m² y útil de 67 m² distribuida en salón-comedor con salida al balcón, cocina independiente, 2 habitaciones dobles, 2 individuales y 1 baño completo. Acabados con suelo de gres, carpintería interior de madera y exterior de aluminio. Precisa reformas. Se encuentra en la zona del Bari Font próximo a todos los servicios. La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Casa en venta en Esparreguera,Esparreguera,263000 ,4, 3 ,115 ,Bajo,2.286,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-893929899_519327/,"115 m². Vivienda - 150 m². Terreno - casa de dos plantas + buhardilla  Planta baja: recibidor, cocina office, salçón comedor 30 m². Con terraza de 20 m²., asero dfe cortesia. 1ª planta: 4 habitaciones (3 dobles), baño con bañera, terraza. Buhardilla: diafana de 20 m1. + trastero. Carpinteria interior sa`pely, exterior aluminio climalit, suelo gres, aire acondicionado en cada planta, calefacción gas, garaje 1 coche, lavadero, patio de entrada a la casa."
Piso en venta en Esparreguera,Esparreguera,126400 ,4, 2 ,92 ,2ª,1.373,Entre 30 y 50 años,A reformar,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-480263413_324700/,"Piso en venta situado en la población de Esparreguera, provincia de Barcelona. El inmueble tiene una superficie construida de 92 m² y útil de 74 m² distribuidos en recibidor de entrada, salón-comedor, cocina independiente a reformar con lavadero, 2 habitaciones dobles y 1 individual; 1 baño completo de origen. Acabados con suelo de terrazo, carpintería interior de haya y exterior de madera. Precisa reforma y está en una 2ª planta sin ascensor. ¡PUEDE PASAR SU OFERTA!Se encuentra en la zona del Bari Font próximo a todos los servicios. La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
