Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Antigüedad,Estado conservacion,URL,Descripcion
Piso en venta en Esparreguera,Esparreguera,170000 ,3, 3 ,95 ,2ª,1.789,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-97508415000_519515/,"Encontramos esta bonita propiedad, ubicada en el corazón de Esparreguera, donde tendrás la máxima comodidad. La vivienda es muy acogedora y llena de personalidad. Dispone de un amplio salón con ventanales, cocina independiente con acceso a zona de aguas, 3 dormitorios, 1 baño completo y 1 aseo. Gracias a su excelente estado de conservación, garantiza una entrada inmediata a la vivienda. Posibilidad de plaza de parking. Porque la vida son momentos, vívelos en el hogar que siempre soñaste..."
Casa adosada en venta en Esparreguera,Esparreguera,180000 ,2, 1 ,460 ,Bajo,391,-,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-95077551700_519351/,Casa adosada de 60 m²-comedor con chimenea por conductos-cocina office salida terraza-lavadero-2 hab- 1 baño con ducha-a.a.-trastero-garaje-puerta entrada a la casa corredera-patio delantero 15 m²-patio trasero varias terrazas-barbacoa-alarma-rejas-porticones madera-sol todo el dia-vistas a montserrat.zona tranquila-ttes publico y escolar
Casa en venta en Esparreguera,Esparreguera,248000 ,3, 2 ,180 ,-,1.377,Entre 30 y 50 años,Reformado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-73394619955_104400/,"Casa en Esparreguera zona CAN RIAL, 180 m. de superficie, 502 m. superficie parcela, 10 m2 de cocina, 30 m2 de comedor, 2 habitaciones dobles y  una habitación individual,  un baño (completo con ducha y bañera ovalada),  un aseo (en planta noble), propiedad reformada, cocina equipada, suelo de gres porcelánico (y parquet en planta superior.), carpintería exterior de aluminio / climalit (persianas de aluminio).Extras: agua, barbacoa, buhardilla , calefacción, gas ciudad , jardín , lavandería , línea telefónica, luminoso, luz, ojos de buey, patio, piscina propia , puerta blindada, puertas auto, trastero, garaje  incluidoCasa a Esparreguera zona CAN RIAL, 180 m. de superfície, 502 m. superfície parcel·la, 10 m2 de cuina, 30 m2 de menjador, 2 habitacions dobles i una habitació individual, un bany (complet amb dutxa i banyera ovalada), un lavabo (a planta noble), propietat reformada, cuina equipada, terra de gres porcelànic (i parquet a la planta superior.), tancaments d'alumini / climalit (persianes d'alumini).Extres: aigua, barbacoa, golfes, calefacció, gas ciutat, jardí, bugaderia, línia telefonica, lluminós, llum, ulls de bou, pati, piscina propia, porta blindada, portes acte, traster, garatge inclos"
Piso en venta en Esparreguera,Esparreguera,170000 ,3, 2 ,90 ,2ª,1.888,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2530471323_519327/,"-	90 M2. Vivienda-	Salón comedor 34 m2., 3 Habitaciones (1 doble), Cocina office con galeria,, Baño con bañera y Aseo de cortesia, Suelo de gres, Calefaccion gas natural, Preinstalación de aire acondicionado, Carpinterïa interior roble macizo, exterior aluminio climalit-	Plaza de parking Opcional.-"
Piso en venta en Esparreguera,Esparreguera,165000 ,3, 1 ,88 ,1ª,1.875,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-1677664649_519515/,"Te presentamos un hogar encantador que reúne comodidad, cercanía y estancias equilibradas, situado a escasos metros del centro de la población de Esparreguera. La finca dispone de ascensor. La vivienda disfruta de mucha luz natural. Se compone de comedor con acceso a balcón de 8 m2, cocina office con zona de aguas, 3 habitaciones y 1 baño completo. Además dispone de plaza de parking. Donde hay un sueño, hay un camino..."
Casa adosada en venta en Urbanització Can Rial,Esparreguera,385000 ,3, 3 ,200 ,Bajo,1.925,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-93405374602_501283/,"Fantástica casa tres vientos de obra vista ubicada  en la urbanización Mas Rial. Dispone de un exterior privilegiado con  piscina, zona barbacoa y solárium. Acabados de alta calidad, con una sala polivalente a nivel de jardín. Comedor con chimenea, parquing para 2 coches y 3 habitaciones grandes con su baño. Ideal para familias con niños ."
Casa en venta en Esparreguera,Esparreguera,580000 ,4, 2 ,350 ,-,1.657,Entre 5 y 10 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-93371883405_100500/,"Ref. Mce3775ca.  .  Si buscas intimidad en una vivienda con un amplio  terreno  y con unas espectaculares vistas esta es tu casa..  .  Dispondras de una amplia zona de barbacoa con una piscina de ensueño para disfrutar de la vida, ven a verla_.  .  Podras inagurar 3 cuadras de caballos recién terminadas y todo dentro de tu propia finca..  .  Distribución: .  - amplio comedor de mas de 45 m² con chimenea y salida a la piscina..  - cocina de 20 m² totalmente equipada_.  - 4 habitaciones dobles. .  - 2 baños completos ..  .  Calidades:.  - suelos porcelánico ..  - carpintería exterior de aluminio..  - garaje para 2 coches.  - aparatos de osmosis.  - jardín.  - piscina.  - establos para caballos.  .  Zona y transporte: .  Urbanización can fonsalba ,situada en plena naturaleza, tranquilidad, impresionantes vistas e impagables puestas de sol. Sin duda, en ella usted ganará en calidad de vida y la que dispone de parada de autobús."
Casa adosada en venta en Esparreguera - Nucli Urbà,Esparreguera,295000 ,5, 2 ,177 ,-,1.666,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100009510007_101800/,Centro pueblo. Casa de 118 m² de 2 plantas. Pl. Baja : garaje de 59 m² para dos vehiculos. Habitación-lavadero. Pl. Primera: comedor-salón con chimenea. Cocina office con salida a patio de 60 m². 1 baño con bañera. 1 habitación. Planta segunda: 4 habitaciones. 1 baño con ducha. Calefacción a gas. Suelo de gres. Ventanas de aluminio. Mosquiteras.
Casa unifamiliar en venta en Esparreguera,Esparreguera,86500 ,3, 1 ,87 ,-,994,-,En buen estado,https://www.pisos.com/comprar/casa_unifamiliar-esparreguera_centro_urbano-99201868307_109300/,"Casa en Esparraguera, Barcelona. Situada en una zona tranquila, cerca de pequeños comercios. Con fácil acceso a la carretera autonómica B-231.."
Casa en venta en Esparreguera,Esparreguera,287400 ,3, 3 ,210 ,-,1.368,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-60842589904_104400/,"Ref. Mce1374mr.  .  Preciosa casa a 4 vientos de 190 m² sobre parcela de 700m². Jardín y 2 terrazas, barbacoa,sala de juegos y garage para dos coches grandes. Bonitas vistas a montserrat y en dias claros incluso el montseny.  .  Distribución:_.  .  Planta baja: .  - garaje para 2 coches.  - trastero.  - sala de juegos con chimenea.  - lavadero.  - 1 aseo.  - porches abiertos con acceso a jardín.  .  1ª planta: .  - 3 habitaciones dobles.  - salón-comedor  .  - baño completo.  - cocina independiente totalmente equipada.  .  Calidades:.  - suelo de gres.  - carpintería exterior de aluminio / climalit..  - calefacción.  .  Zona y transporte público:.  Urbanización rodeada de naturaleza, tranquilidad, impresionantes vístas e impagables puestas de sol. Sin duda en  ella usted ganará en calidad de vida. .  Estará a tan solo 3' en coche de la autovía a2 dirección barcelona y/o igualada, lérida ) y a 5' de la autopista del mediterráneo. .  .  A tan sólo a 10' en coche del tren (fgc o renfe),  servicio de bus urbano cerca del inmueble, igualadina en el pueblo de esparraguera. Ambos transportes tienen parada tanto a  barcelona como a  manresa e igualada, entre otros pueblos..  .  ¡Llámenos y la vistamos!"
